畢業總共需要多少學分？,請參考入學當年度的必選修科目表，通常為128學分左右（依學年度規定為準）。
第一學期新生可以申請成績優良獎學金嗎？,大一新生通常第一學期無法申請大學成績類的獎學金，但有「優秀新生入學獎學金」。
領取助學金需要做服務學習嗎？,部分生活助學金會要求學生每個月完成一定時數的校內服務（如圖書館、系辦工讀）。
獎學金是直接發現金還是匯款？,校內外獎助學金目前幾乎皆採匯款方式，直接匯入學生在出納組登記的銀行帳戶。
如果延畢還可以申請獎學金嗎？,延修生（延畢生）通常不具備一般在校生獎學金的申請資格。
學雜費減免與就學貸款可以同時辦理嗎？,可以，但必須「先辦理減免」，確認扣除金額後，再以「減免後的差額」辦理就學貸款。
有弱勢學生免住宿費的規定嗎？,具有低收入戶資格的學生，可依學校規定申請優先住宿並減免住宿費用。
有沒有專屬於資料科學系（巨資學院）的獎學金？,有的，巨資學院設有專屬的「文華獎學金」，專門用來獎勵本院系的師生。
「文華獎學金」是誰設立的？,由巨資學院張善政榮譽院長捐款成立，目的是支持學院教學創新與AI人才培育。
我想要拿「文華獎學金」，平常應該注重什麼？,除了學業成績外，建議多投入AI應用、資料分析、專題研究並參與校內外競賽。
教育部有提供哪些助學金資訊管道？,學生可至「教育部圓夢助學網」，整合了各部會、縣市政府及民間團體的資訊。
行政院有提供學費補助嗎？,有的，目前有提供「行政院定額減免學雜費3.5萬元」的補助方案。
如果家庭經濟較為困難，學校有哪些校內補助可以申請？,包含就學優待減免、「弱勢學生助學計畫」助學金、工讀助學金、生活助學金等。
學校有提供打工的機會嗎？,有，東吳大學每學年提供數百名校內工讀機會（工讀助學金），提供經濟上的協助。
校友有提供獎學金給學弟妹嗎？,有，學校設有「東吳大學校友紀念獎助學金」，由畢業校友捐款回饋母校。
「文華獎學金」辦理多久了？,自 107 學年度起開始辦理，迄今已嘉惠巨資學院百餘位師生。
東吳資科系每學期學雜費大約多少？,"依最新標準，巨資學院資料科學系學士班學雜費約為 55,990 元。"
學雜費繳費單何時可以下載？,開學前約一個月，學生可至「台新銀行學雜費入口網」自行下載繳費單。
可以用信用卡繳學雜費嗎？,可以，透過台新銀行入口網線上刷卡，部分銀行提供分期零利率。
學貸要怎麼申請？,開學前先至台北富邦銀行辦理對保，再將對保單繳回學務處生輔組完成註冊。
學貸可以貸的項目有哪些？,包含學雜費、書籍費（最高3000元）、校內住宿費及學生平安保險費。
忘記繳學雜費會怎樣？,逾期未繳且未辦理延緩繳費者，視同未完成註冊，依規定可能會面臨退學處分。
可以申請延期繳納學雜費嗎？,若有經濟困難，可於註冊日前向會計室申請延緩繳費，最多可延緩約一個月。
休學可以退學雜費嗎？,開學日前全額退費；上課達1/3前退2/3；逾2/3則不予退費。
延畢生學雜費怎麼算？,修習9學分(含)以下收學分費與部分雜費；達10學分者繳交全額學雜費。
資科系的學分費大約多少？,"巨資學院每學分約為 1,390 元（依入學年度與公告為準）。"
學生平安保險費可以不繳嗎？,學平險為強制性保險，所有在籍學生皆需繳納（約數百元）。
電腦實習費是什麼？,若修習需使用電腦教室與軟體的課程，學校會代收電腦及網路通訊使用費。
辦理學分抵免後，可以退學分費嗎？,全額繳費者不退費；依學分數繳費的延畢生，抵免後依實際修習學分計費。
暑修費怎麼計算？,依修習的學分數乘以各院系規定的學分單價計算。
退選課程會退學分費嗎？,加退選期間內退選，若影響總額會退費；期中「停修」則不退費。
低收入戶學生學雜費減免標準？,符合法定低收入戶資格者學雜費全免；中低收入戶依比例減免。
學校有提供宿舍嗎？住宿費多少？,有一系列校內外宿舍，一學期費用依房型約1萬多至3萬多不等。
大陸生或外籍生的學雜費一樣嗎？,不一樣，境外生（含陸生、外籍生）的收費基準通常較本地生高。
繳費收據遺失怎麼辦？,可至台新銀行學雜費入口網，自行下載並列印繳費證明書。
就學貸款的利息誰負擔？,依年收入而定，標準內由政府全額補貼在學利息，畢業滿一年後自付利息。
轉學生的學雜費收費標準？,與同屆在學生收費標準相同。
有沒有分期付款繳學費的方案？,可利用信用卡繳費之分期功能，或向學校申請延緩繳費。
如果有雙主修，學雜費會增加嗎？,大學部學雜費為定額，雙主修不加收學費，但若延畢則依學分數計費。
讀資料科學系需要自備筆電嗎？,必備。建議記憶體至少 16G，且重量輕便於攜帶。
數學需要很厲害才能讀資科系嗎？,需基礎微積分與統計邏輯，系上更強調應用，跟著進度學即可。
暑假入學前需要先學什麼程式語言嗎？,不強制。若想預習，建議先接觸 Python 基礎。
資科系畢業後可以做什麼工作？,資料分析師、AI工程師、數據科學家、軟體工程師等。
資科系與資管系有什麼不同？,資管偏資訊系統應用；資科更專注於數據探勘、機器學習與AI模型。
系上有出國交換的機會嗎？,有，可透過學校國際處申請至美國、歐洲、日本等姊妹校交換。
不會寫程式可以讀資科系嗎？,可以，大一從 Python 基礎教起，只要肯學不用擔心。
專題研究是自己找教授還是系上分配？,通常由學生自行組隊，並主動尋找研究領域相符的教授指導。
系上有哪些研究領域的教授？,涵蓋機器學習、NLP、影像辨識、金融科技等。
東吳資科系在哪個校區上課？,大學部在「雙溪校區」，靠近捷運士林站
系上有辦給高中生的營隊嗎？,系學會通常每年會舉辦「大數據營」。
課程中會用到哪些軟體或工具？,"常用 Python, R, SQL, Tableau, Power BI 等。"
什麼是「NVIDIA DLI 證照」？,系上課程結合 NVIDIA 資源，讓學生有機會考取 AI 實務證照。
有企業實習的機會嗎？,有，大四可修習「企業實習」課程，進入產學合作企業體驗。
實習有薪水嗎？,視合作企業而定，多數提供法定基本時薪或月薪。
專題成果會對外展出嗎？,會，大四上會舉辦成果展，邀請業界人士參與評選。
碩士班有直升管道嗎？,有「五年一貫」制度，最快五年可取得學士與碩士學位。
系學會都在做什麼？,舉辦迎新、系服設計、講座、參訪與聚會活動。
上課需要買很多原文書嗎？,視教授而定。部分教授會提供自編講義或數位教材。
資科系的硬體設備好嗎？,設有專業電腦教室，配有 GPU 運算資源供模型訓練。
選課系統忘記密碼怎麼辦？,至電子化校園系統首頁點選「忘記密碼」或至資訊中心處理。
系辦公室在哪裡？,位於城中校區，辦公時間通常為平日 08:30 - 17:00。
資科系有提供國際雙聯學位嗎？,學校與海外大學有簽署雙聯協定，符合資格可申請。
學校會提供免費的軟體授權嗎？,在學可免費使用 Office 365 及部分統計軟體。
專題做不出來會延畢嗎？,專題為必修，未完成展出或及格確實會延畢。
