knowledge_id,類別,子類別,知識內容,適用對象,依據來源,來源連結或檔名,來源位置/備註,關鍵標籤,可信度,備註
K00011,課程地圖文字化,選課提醒,學生規劃生命關懷時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,生命關懷,校訂共同必修,依共通科目開課時段,1學分",高,
K00012,課程地圖文字化,一般修課提醒,生命關懷未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,生命關懷,校訂共同必修,依共通科目開課時段,1學分",中,未列特殊先修不代表永遠無限制
K00013,課程地圖文字化,課程基本資訊,思維方法是東吳資料科學系114學年度課程表中的校訂共同必修課程，共1學分，通常安排於依共通科目開課時段修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,思維方法,校訂共同必修,依共通科目開課時段,1學分",高,
K00014,課程地圖文字化,修課定位,思維方法在課程規劃中的定位為「共同必修」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,思維方法,校訂共同必修,依共通科目開課時段,1學分",高,
K00015,課程地圖文字化,選課提醒,學生規劃思維方法時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,思維方法,校訂共同必修,依共通科目開課時段,1學分",高,
K00016,課程地圖文字化,一般修課提醒,思維方法未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,思維方法,校訂共同必修,依共通科目開課時段,1學分",中,未列特殊先修不代表永遠無限制
K00017,課程地圖文字化,課程基本資訊,職涯錨定是東吳資料科學系114學年度課程表中的校訂共同必修課程，共1學分，通常安排於依共通科目開課時段修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,職涯錨定,校訂共同必修,依共通科目開課時段,1學分",高,
K00018,課程地圖文字化,修課定位,職涯錨定在課程規劃中的定位為「共同必修」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,職涯錨定,校訂共同必修,依共通科目開課時段,1學分",高,
K00019,課程地圖文字化,選課提醒,學生規劃職涯錨定時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,職涯錨定,校訂共同必修,依共通科目開課時段,1學分",高,
K00020,課程地圖文字化,一般修課提醒,職涯錨定未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,職涯錨定,校訂共同必修,依共通科目開課時段,1學分",中,未列特殊先修不代表永遠無限制
K00021,課程地圖文字化,課程基本資訊,人工智慧跨域應用是東吳資料科學系114學年度課程表中的校訂共同必修課程，共1學分，通常安排於依系上安排修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,人工智慧跨域應用,校訂共同必修,依系上安排,1學分",高,
K00022,課程地圖文字化,修課定位,人工智慧跨域應用在課程規劃中的定位為「共同必修對應AI課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,人工智慧跨域應用,校訂共同必修,依系上安排,1學分",高,
K00023,課程地圖文字化,選課提醒,學生規劃人工智慧跨域應用時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,人工智慧跨域應用,校訂共同必修,依系上安排,1學分",高,
K00024,邊界案例FAQ,擋修與先修,若要修習人工智慧跨域應用，需特別注意先修或成績條件：限修本學系人工智慧導論。未符合條件時，應先向系辦或授課單位確認是否能選課或是否需要補修。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程備註/先修條件,"課程表,人工智慧跨域應用,校訂共同必修,依系上安排,1學分,擋修,先修",高,
K00025,邊界案例FAQ,錯誤認知,不能只看人工智慧跨域應用是否有開課就直接選課；若課程表標示「限修本學系人工智慧導論」，學生仍需符合該條件，否則可能影響選課或後續修課安排。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程備註/先修條件,"課程表,人工智慧跨域應用,校訂共同必修,依系上安排,1學分,錯誤認知",高,
K00026,課程地圖文字化,課程基本資訊,數位自主學習是東吳資料科學系114學年度課程表中的校訂共同必修課程，共2學分，通常安排於修業期限內自主選課修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,數位自主學習,校訂共同必修,修業期限內自主選課,2學分",高,
K00027,課程地圖文字化,修課定位,數位自主學習在課程規劃中的定位為「配合選課時間修讀」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,數位自主學習,校訂共同必修,修業期限內自主選課,2學分",高,
K00028,課程地圖文字化,選課提醒,學生規劃數位自主學習時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,數位自主學習,校訂共同必修,修業期限內自主選課,2學分",高,
K00029,課程地圖文字化,一般修課提醒,數位自主學習未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,數位自主學習,校訂共同必修,修業期限內自主選課,2學分",中,未列特殊先修不代表永遠無限制
K00030,課程地圖文字化,課程基本資訊,通識課程是東吳資料科學系114學年度課程表中的校訂共同必修課程，共10學分，通常安排於大一至大三分散修讀修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,通識課程,校訂共同必修,大一至大三分散修讀,10學分",高,
K00031,課程地圖文字化,修課定位,通識課程在課程規劃中的定位為「通識畢業需求」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,通識課程,校訂共同必修,大一至大三分散修讀,10學分",高,
K00032,課程地圖文字化,選課提醒,學生規劃通識課程時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,通識課程,校訂共同必修,大一至大三分散修讀,10學分",高,
K00033,課程地圖文字化,一般修課提醒,通識課程未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,通識課程,校訂共同必修,大一至大三分散修讀,10學分",中,未列特殊先修不代表永遠無限制
K00034,課程地圖文字化,課程基本資訊,體育是東吳資料科學系114學年度課程表中的校訂共同必修課程，共0學分，通常安排於大一至大二修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,體育,校訂共同必修,大一至大二,0學分",高,
K00035,課程地圖文字化,修課定位,體育在課程規劃中的定位為「必修零學分」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,體育,校訂共同必修,大一至大二,0學分",高,
K00036,課程地圖文字化,選課提醒,學生規劃體育時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,體育,校訂共同必修,大一至大二,0學分",高,
K00037,課程地圖文字化,一般修課提醒,體育未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,體育,校訂共同必修,大一至大二,0學分",中,未列特殊先修不代表永遠無限制
K00038,課程地圖文字化,課程基本資訊,微積分(一)是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大一上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,微積分(一),系必修,大一上,3學分",高,
K00039,課程地圖文字化,修課定位,微積分(一)在課程規劃中的定位為「含輔導課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,微積分(一),系必修,大一上,3學分",高,
K00040,課程地圖文字化,選課提醒,學生規劃微積分(一)時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,微積分(一),系必修,大一上,3學分",高,
K00041,課程地圖文字化,一般修課提醒,微積分(一)未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,微積分(一),系必修,大一上,3學分",中,未列特殊先修不代表永遠無限制
K00042,課程地圖文字化,課程基本資訊,程式設計(一)是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大一上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,程式設計(一),系必修,大一上,3學分",高,
K00043,課程地圖文字化,修課定位,程式設計(一)在課程規劃中的定位為「含輔導課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,程式設計(一),系必修,大一上,3學分",高,
K00044,課程地圖文字化,選課提醒,學生規劃程式設計(一)時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,程式設計(一),系必修,大一上,3學分",高,
K00045,課程地圖文字化,一般修課提醒,程式設計(一)未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,程式設計(一),系必修,大一上,3學分",中,未列特殊先修不代表永遠無限制
K00046,課程地圖文字化,課程基本資訊,巨量資料概論是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大一上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,巨量資料概論,系必修,大一上,3學分",高,
K00047,課程地圖文字化,修課定位,巨量資料概論在課程規劃中的定位為「資料科學入門課」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,巨量資料概論,系必修,大一上,3學分",高,
K00048,課程地圖文字化,選課提醒,學生規劃巨量資料概論時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,巨量資料概論,系必修,大一上,3學分",高,
K00049,課程地圖文字化,一般修課提醒,巨量資料概論未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,巨量資料概論,系必修,大一上,3學分",中,未列特殊先修不代表永遠無限制
K00050,課程地圖文字化,課程基本資訊,計算機概論是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大一下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,計算機概論,系必修,大一下,3學分",高,
K00051,課程地圖文字化,修課定位,計算機概論在課程規劃中的定位為「含輔導課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,計算機概論,系必修,大一下,3學分",高,
K00052,課程地圖文字化,選課提醒,學生規劃計算機概論時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,計算機概論,系必修,大一下,3學分",高,
K00053,課程地圖文字化,一般修課提醒,計算機概論未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,計算機概論,系必修,大一下,3學分",中,未列特殊先修不代表永遠無限制
K00054,課程地圖文字化,課程基本資訊,線性代數是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大一下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,線性代數,系必修,大一下,3學分",高,
K00055,課程地圖文字化,修課定位,線性代數在課程規劃中的定位為「資料科學數學基礎」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,線性代數,系必修,大一下,3學分",高,
K00056,課程地圖文字化,選課提醒,學生規劃線性代數時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,線性代數,系必修,大一下,3學分",高,
K00057,課程地圖文字化,一般修課提醒,線性代數未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,線性代數,系必修,大一下,3學分",中,未列特殊先修不代表永遠無限制
K00058,課程地圖文字化,課程基本資訊,程式設計(二)是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大一下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,程式設計(二),系必修,大一下,3學分",高,
K00059,課程地圖文字化,修課定位,程式設計(二)在課程規劃中的定位為「含輔導課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,程式設計(二),系必修,大一下,3學分",高,
K00060,課程地圖文字化,選課提醒,學生規劃程式設計(二)時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,程式設計(二),系必修,大一下,3學分",高,
K00061,邊界案例FAQ,擋修與先修,若要修習程式設計(二)，需特別注意先修或成績條件：程式設計(一)須60分以上。未符合條件時，應先向系辦或授課單位確認是否能選課或是否需要補修。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程備註/先修條件,"課程表,程式設計(二),系必修,大一下,3學分,擋修,先修",高,
K00062,邊界案例FAQ,錯誤認知,不能只看程式設計(二)是否有開課就直接選課；若課程表標示「程式設計(一)須60分以上」，學生仍需符合該條件，否則可能影響選課或後續修課安排。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程備註/先修條件,"課程表,程式設計(二),系必修,大一下,3學分,錯誤認知",高,
K00063,課程地圖文字化,課程基本資訊,資料庫導論是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大二上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,資料庫導論,系必修,大二上,3學分",高,
K00064,課程地圖文字化,修課定位,資料庫導論在課程規劃中的定位為「資料管理核心課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,資料庫導論,系必修,大二上,3學分",高,
K00065,課程地圖文字化,選課提醒,學生規劃資料庫導論時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,資料庫導論,系必修,大二上,3學分",高,
K00066,課程地圖文字化,一般修課提醒,資料庫導論未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,資料庫導論,系必修,大二上,3學分",中,未列特殊先修不代表永遠無限制
K00067,課程地圖文字化,課程基本資訊,網頁程式設計是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大二上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,網頁程式設計,系必修,大二上,3學分",高,
K00068,課程地圖文字化,修課定位,網頁程式設計在課程規劃中的定位為「網頁開發基礎」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,網頁程式設計,系必修,大二上,3學分",高,
K00069,課程地圖文字化,選課提醒,學生規劃網頁程式設計時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,網頁程式設計,系必修,大二上,3學分",高,
K00070,課程地圖文字化,一般修課提醒,網頁程式設計未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,網頁程式設計,系必修,大二上,3學分",中,未列特殊先修不代表永遠無限制
K00071,課程地圖文字化,課程基本資訊,機率與統計是東吳資料科學系114學年度課程表中的系必修課程，共6學分，通常安排於大二上、大二下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,機率與統計,系必修,大二上、大二下,6學分",高,
K00072,課程地圖文字化,修課定位,機率與統計在課程規劃中的定位為「含輔導課程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,機率與統計,系必修,大二上、大二下,6學分",高,
K00073,課程地圖文字化,選課提醒,學生規劃機率與統計時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,機率與統計,系必修,大二上、大二下,6學分",高,
K00074,邊界案例FAQ,擋修與先修,若要修習機率與統計，需特別注意先修或成績條件：上學期需50分以上才能銜接下學期。未符合條件時，應先向系辦或授課單位確認是否能選課或是否需要補修。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程備註/先修條件,"課程表,機率與統計,系必修,大二上、大二下,6學分,擋修,先修",高,
K00075,邊界案例FAQ,錯誤認知,不能只看機率與統計是否有開課就直接選課；若課程表標示「上學期需50分以上才能銜接下學期」，學生仍需符合該條件，否則可能影響選課或後續修課安排。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程備註/先修條件,"課程表,機率與統計,系必修,大二上、大二下,6學分,錯誤認知",高,
K00076,課程地圖文字化,課程基本資訊,資料分析軟體是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大二下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,資料分析軟體,系必修,大二下,3學分",高,
K00077,課程地圖文字化,修課定位,資料分析軟體在課程規劃中的定位為「資料分析工具課」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,資料分析軟體,系必修,大二下,3學分",高,
K00078,課程地圖文字化,選課提醒,學生規劃資料分析軟體時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,資料分析軟體,系必修,大二下,3學分",高,
K00079,課程地圖文字化,一般修課提醒,資料分析軟體未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,資料分析軟體,系必修,大二下,3學分",中,未列特殊先修不代表永遠無限制
K00080,課程地圖文字化,課程基本資訊,資料產品開發實務是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大二下修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,資料產品開發實務,系必修,大二下,3學分",高,
K00081,課程地圖文字化,修課定位,資料產品開發實務在課程規劃中的定位為「資料產品實作課」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,資料產品開發實務,系必修,大二下,3學分",高,
K00082,課程地圖文字化,選課提醒,學生規劃資料產品開發實務時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,資料產品開發實務,系必修,大二下,3學分",高,
K00083,課程地圖文字化,一般修課提醒,資料產品開發實務未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,資料產品開發實務,系必修,大二下,3學分",中,未列特殊先修不代表永遠無限制
K00084,課程地圖文字化,課程基本資訊,資料視覺化分析是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大三上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,資料視覺化分析,系必修,大三上,3學分",高,
K00085,課程地圖文字化,修課定位,資料視覺化分析在課程規劃中的定位為「資料呈現與視覺化」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,資料視覺化分析,系必修,大三上,3學分",高,
K00086,課程地圖文字化,選課提醒,學生規劃資料視覺化分析時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,資料視覺化分析,系必修,大三上,3學分",高,
K00087,課程地圖文字化,一般修課提醒,資料視覺化分析未在目前整理資料中明列特殊先修門檻；但實際能否修課仍應以當學期選課系統、授課教師與系辦公告為準。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,依課表未列特殊門檻,"課程表,資料視覺化分析,系必修,大三上,3學分",中,未列特殊先修不代表永遠無限制
K00088,課程地圖文字化,課程基本資訊,資料工程是東吳資料科學系114學年度課程表中的系必修課程，共3學分，通常安排於大三上修讀。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表,"課程表,資料工程,系必修,大三上,3學分",高,
K00089,課程地圖文字化,修課定位,資料工程在課程規劃中的定位為「資料處理與工程流程」，學生可依入學年度課程表確認實際開課學期與修課要求。,學士班學生,114學士班必選修科目表,114-學士(1).pdf,課程表備註,"課程表,資料工程,系必修,大三上,3學分",高,
K00090,課程地圖文字化,選課提醒,學生規劃資料工程時，應優先確認自己所屬入學年度的必選修科目表，因不同入學年度的課程名稱、學分或安排學期可能略有差異。,學士班學生,112-114學士班必選修科目表,112-學士(1).pdf；113-學士(1).pdf；114-學士(1).pdf,跨年度課程表,"課程表,資料工程,系必修,大三上,3學分",高,
